Results for Run number 1
HOME NODE	|	(HOME, 200, 200)
GOAL NODE	|	(GOAL, 350, 100)
OBSTACLES	|	3
Iteration: 1
|	ANT	|	SUCCESSFUL/UNSUCCESSFUL	|	TRAIL LENGTH	|	TRAIL	
|-------|---------------------------|-------------------|-----------------
|	0	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 200, 190), (STANDARD, 210, 200), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	1	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	2	|	SUCCESSFUL       		|	20				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 310, 100), (STANDARD, 320, 110), (STANDARD, 330, 100), (STANDARD, 340, 100), (STANDARD, 330, 90), (STANDARD, 340, 90), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	3	|	SUCCESSFUL       		|	20				|	[(HOME, 200, 200), (STANDARD, 190, 200), (STANDARD, 200, 190), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (STANDARD, 330, 90), (STANDARD, 340, 90), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	4	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	5	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	6	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 210), (STANDARD, 220, 200), (STANDARD, 230, 190), (STANDARD, 240, 190), (STANDARD, 250, 180), (STANDARD, 260, 170), (STANDARD, 250, 160), (STANDARD, 260, 150), (STANDARD, 270, 140), (STANDARD, 280, 130), (STANDARD, 290, 120), (STANDARD, 300, 110), (STANDARD, 310, 100), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	7	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 280, 130), (STANDARD, 290, 120), (STANDARD, 300, 110), (STANDARD, 310, 100), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	8	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 320, 90), (STANDARD, 330, 90), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	9	|	SUCCESSFUL       		|	17				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (STANDARD, 350, 90), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	10	|	SUCCESSFUL       		|	20				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 250, 160), (STANDARD, 260, 150), (STANDARD, 270, 140), (STANDARD, 280, 130), (STANDARD, 290, 120), (STANDARD, 300, 110), (STANDARD, 310, 100), (STANDARD, 300, 110), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	11	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	12	|	SUCCESSFUL       		|	25				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 200), (STANDARD, 250, 190), (STANDARD, 260, 180), (STANDARD, 270, 170), (STANDARD, 280, 160), (STANDARD, 270, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 260, 140), (STANDARD, 260, 150), (STANDARD, 270, 140), (STANDARD, 280, 130), (STANDARD, 270, 130), (STANDARD, 280, 120), (STANDARD, 290, 110), (STANDARD, 300, 100), (STANDARD, 310, 100), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	13	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 240, 170), (STANDARD, 250, 160), (STANDARD, 260, 150), (STANDARD, 270, 140), (STANDARD, 280, 130), (STANDARD, 290, 120), (STANDARD, 300, 110), (STANDARD, 310, 100), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	14	|	SUCCESSFUL       		|	19				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 240, 170), (STANDARD, 250, 160), (STANDARD, 260, 150), (STANDARD, 270, 140), (STANDARD, 280, 130), (STANDARD, 290, 120), (STANDARD, 300, 110), (STANDARD, 310, 100), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (STANDARD, 340, 90), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	15	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	16	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	17	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 160), (STANDARD, 290, 150), (STANDARD, 300, 140), (STANDARD, 310, 130), (STANDARD, 320, 120), (STANDARD, 330, 110), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	18	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 200), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	19	|	SUCCESSFUL       		|	22				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 260, 170), (STANDARD, 260, 180), (STANDARD, 270, 170), (STANDARD, 280, 160), (STANDARD, 270, 150), (STANDARD, 260, 140), (STANDARD, 270, 130), (STANDARD, 280, 130), (STANDARD, 290, 120), (STANDARD, 300, 110), (STANDARD, 310, 100), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------

End of iteration 1
BEST TRAIL LENGTH: 16
Number of ants with the best trail: 8
Number of successful ants: 20
Number of unsuccessful ants: 0

Iteration: 2
|	ANT	|	SUCCESSFUL/UNSUCCESSFUL	|	TRAIL LENGTH	|	TRAIL	
|-------|---------------------------|-------------------|-----------------
|	0	|	SUCCESSFUL       		|	20				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 200, 190), (STANDARD, 210, 200), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 190), (STANDARD, 260, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	1	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 240, 170), (STANDARD, 250, 160), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	2	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 130), (STANDARD, 320, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	3	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 190, 200), (STANDARD, 200, 190), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	4	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 250, 150), (STANDARD, 260, 150), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	5	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 260, 140), (STANDARD, 270, 140), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	6	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	7	|	SUCCESSFUL       		|	20				|	[(HOME, 200, 200), (STANDARD, 200, 210), (STANDARD, 210, 200), (STANDARD, 220, 200), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 260, 160), (STANDARD, 260, 150), (STANDARD, 270, 140), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 110), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	8	|	SUCCESSFUL       		|	24				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 150), (STANDARD, 280, 160), (STANDARD, 270, 170), (STANDARD, 260, 170), (STANDARD, 250, 160), (STANDARD, 260, 150), (STANDARD, 270, 140), (STANDARD, 280, 130), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	9	|	SUCCESSFUL       		|	44				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 310, 90), (STANDARD, 310, 100), (STANDARD, 300, 110), (STANDARD, 290, 120), (STANDARD, 280, 130), (STANDARD, 270, 140), (STANDARD, 260, 150), (STANDARD, 250, 160), (STANDARD, 240, 170), (STANDARD, 250, 170), (STANDARD, 250, 160), (STANDARD, 260, 170), (STANDARD, 270, 180), (STANDARD, 270, 170), (STANDARD, 260, 160), (STANDARD, 270, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 300, 130), (STANDARD, 310, 130), (STANDARD, 320, 120), (STANDARD, 310, 110), (STANDARD, 300, 120), (STANDARD, 300, 110), (STANDARD, 310, 100), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	10	|	SUCCESSFUL       		|	16				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	11	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 240, 190), (STANDARD, 250, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	12	|	SUCCESSFUL       		|	18				|	[(HOME, 200, 200), (STANDARD, 200, 210), (STANDARD, 210, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	13	|	SUCCESSFUL       		|	23				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 250, 180), (STANDARD, 240, 170), (STANDARD, 240, 180), (STANDARD, 240, 190), (STANDARD, 250, 190), (STANDARD, 260, 180), (STANDARD, 270, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	14	|	SUCCESSFUL       		|	20				|	[(HOME, 200, 200), (STANDARD, 210, 190), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 280, 140), (STANDARD, 270, 130), (STANDARD, 280, 130), (STANDARD, 290, 120), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 90), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
|	15	|	SUCCESSFUL       		|	19				|	[(HOME, 200, 200), (STANDARD, 210, 190), (HOME, 200, 200), (STANDARD, 200, 190), (STANDARD, 210, 200), (STANDARD, 220, 190), (STANDARD, 230, 190), (STANDARD, 240, 180), (STANDARD, 250, 170), (STANDARD, 260, 160), (STANDARD, 270, 150), (STANDARD, 280, 140), (STANDARD, 290, 130), (STANDARD, 300, 120), (STANDARD, 310, 110), (STANDARD, 320, 100), (STANDARD, 330, 100), (STANDARD, 340, 100), (GOAL, 350, 100)]	
|-------|---------------------------|-------------------|-----------------
